suite,background,method,n,improved,unchanged,worsened,clipped,gained3,lost3,gained45,lost45,mean_gain,min_gain,max_gain,background_distance_violations
sweep,#201C18,1.55,274625,273629,8,988,154575,25432,0,39458,0,1.8886110796324014,-0.06737510459580909,5.600029541531104,0
sweep,#201C18,1.575,274625,273616,8,1001,157025,26167,0,40539,0,1.9501559094426488,-0.070237662175751,5.683662503126969,0
sweep,#201C18,1.6,274625,273620,8,997,157025,26827,0,41690,0,2.0117031841766138,-0.07308401420363642,5.930778264132494,0
sweep,#201C18,1.625,274625,273608,8,1009,164081,27442,0,42731,0,2.071147817534586,-0.07568573019062286,6.041211723206198,0
sweep,#201C18,1.65,274625,273605,8,1012,164081,28099,0,43800,0,2.128894022158456,-0.07329370156066406,6.145382264678142,0
sweep,#201C18,1.675,274625,273595,8,1022,166337,28794,0,44866,0,2.1866409681510226,-0.07591609216104689,6.381743121011917,0
sweep,#201C18,1.7,274625,273591,8,1026,173011,29436,0,45785,0,2.2421328948322605,-0.07852497047337015,6.47140791007603,0
sweep,#201C18,1.725,274625,273586,8,1031,173011,30005,0,46757,0,2.2962457116711215,-0.08112044066560897,6.550479745830895,0
sweep,#201C18,1.75,274625,273583,8,1034,173011,30609,0,47742,0,2.35035863524228,-0.08370260583775724,6.776358357756099,0
sweep,#201C18,1.775,274625,273578,8,1039,179405,31102,0,48676,0,2.402755710131953,-0.0862715680354793,6.890697686418886,0
sweep,#201C18,1.8,274625,273578,8,1039,181475,31578,0,49475,0,2.4533952847372085,-0.0882717346326145,6.905684368888828,0
sweep,#201C18,1.825,274625,273577,8,1040,181475,32185,0,50346,0,2.5040583744035696,-0.08572097493153086,7.117011533030064,0
sweep,#201C18,1.85,274625,273572,8,1045,187505,32633,0,51235,0,2.554205995137198,-0.08702355229610803,7.299161517329972,0
sweep,#201C18,1.875,274625,273572,8,1045,187505,33206,0,52006,0,2.6015514499444947,-0.08937527724268013,7.299161517329972,0
sweep,#201C18,1.9,274625,273571,8,1046,187505,33663,0,52824,0,2.648897053742423,-0.09171611760748677,7.406065249396258,0
sweep,#201C18,1.925,274625,273564,8,1053,187505,34097,0,53588,0,2.696242819685163,-0.09404614878236983,7.611789284101709,0
sweep,#201C18,1.95,274625,273560,8,1057,195161,34496,0,54420,0,2.741740314246377,-0.09636544546450909,7.696880775208955,0
sweep,#201C18,1.975,274625,273562,8,1055,195161,35009,0,55149,0,2.785930239986828,-0.0986740816644025,7.696880775208955,0
sweep,#201C18,2.0,274625,273561,8,1056,195161,35507,0,55888,0,2.8301202179100824,-0.1008281968743523,7.841904395860171,0
sweep,#F2F6FA,0.0,274625,0,0,274625,0,0,145252,0,89336,-3.170217646810123,-18.338181491516508,-3.8188618903367555e-05,0
sweep,#F2F6FA,0.025,274625,0,0,274625,0,0,145252,0,89336,-3.1543247651463853,-18.31389859068858,-3.7233938977143666e-05,0
sweep,#F2F6FA,0.05,274625,0,0,274625,0,0,145252,0,89336,-3.137845058905687,-18.28840702133753,-3.627925722837766e-05,0
sweep,#F2F6FA,0.075,274625,0,0,274625,0,0,145252,0,89336,-3.1207431118781574,-18.26161423903539,-3.53245736564034e-05,0
sweep,#F2F6FA,0.1,274625,0,0,274625,0,0,145252,0,89336,-3.102980477581963,-18.23341800407716,-3.436988826188703e-05,0
sweep,#F2F6FA,0.125,274625,0,0,274625,0,0,145252,0,89336,-3.0845153385494406,-18.203705077694746,-3.3415201044384446e-05,0
sweep,#F2F6FA,0.15,274625,0,0,274625,0,0,145252,0,89336,-3.0653021175675965,-18.172349702061688,-3.246051200433975e-05,0
